arm	n_attempts	n_ok	crash_rate	ceiling	iters_to_ceiling	cost_at_ceiling	cost_total	convergence_iter_95pct	cost_to_90pct	n_distinct_kept
dsl	30	0	1.0				3.56766			0
python	30	0	1.0				3.5070749999999995			0
english	30	0	1.0				3.0382649999999995			0
