arm	n_attempts	n_ok	crash_rate	ceiling	iters_to_ceiling	cost_at_ceiling	cost_total	convergence_iter_95pct	cost_to_90pct	n_distinct_kept
dsl	30	0	1.0				4.355159999999999			0
python	30	0	1.0				3.500774999999999			0
english	30	22	0.2667	2.654679	20	2.28138	3.439335	20	2.28138	12
